Feature,GK_meanabs,GK_signed,Base_meanabs
Q10,0.19565366,-0.026240805,0.28797674
Q6,0.16479637,-0.017268127,0.30100685
Q7,0.12308395,-0.010956125,0.1950865
Q12,0.119775414,-0.018040659,0.23710927
Q11,0.114997715,-0.010443099,0.26458588
Q8,0.100781314,-0.013171405,0.23862366
Q13,0.09655668,-0.009786283,0.18356572
Q4,0.09457729,-0.0052118003,0.12269483
Q9,0.09341857,-0.0058056554,0.19398686
Q1,0.06738952,-0.0037427822,0.06958054
Q5,0.06470611,-0.006866996,0.13424763
Q2,0.02970574,-0.0049968217,0.094829164
Q3,0.025979705,-0.0038492717,0.08109193
